hostname,os_family,os_version,cpu_cores,memory_gb,gpu_present,domain_joined,virtualization,open_ports,running_services,server_role,confidentiality,integrity,availability,record_source,confidence,is_synthetic
srv-0173,Windows Server,2019,16,8,False,True,Hyper-V,[ 443 5985],['grafana'],Automation Orchestration Server,Moderate,Moderate,Moderate,synthetic_rules,0.93,True
srv-0174,RHEL,8,4,128,False,False,VMware,[2195],['sshd'],MDM Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.74,True
srv-0175,Windows Server,2022,2,8,False,True,Cloud VM,[ 22  80 443],['sshd'],Cloud Management Gateway,Moderate,Moderate,Moderate,synthetic_hybrid,0.91,True
srv-0176,Debian,11,8,32,False,False,Hyper-V,[ 139  445 3389 5985 5986],['winrm'],File Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.76,True
srv-0177,Ubuntu Server,20.04,4,128,False,True,KVM,[  22 3389],['ossec' 'radiusd'],Firewall Management Server,High,High,High,synthetic_rules,0.82,True
srv-0178,Ubuntu Server,20.04,8,16,False,False,VMware,[443],['sshd'],Directory Sync Server,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
srv-0179,Windows Server,2022,4,16,False,True,KVM,[443],['winrm'],SSO Server,High,High,Moderate,synthetic_ml_seed,0.93,True
srv-0180,Ubuntu Server,22.04,4,32,False,False,Hyper-V,[445],['winrm'],File Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.96,True
srv-0181,Windows Server,2016,4,4,False,True,KVM,[ 443 1883 8883],['sshd'],IoT Gateway,Moderate,Moderate,Moderate,synthetic_ml_seed,0.84,True
srv-0182,Windows Server,2019,8,8,False,True,Cloud VM,[   22   443 10000],['grafana' 'puppetserver'],Backup Server,High,High,High,synthetic_hybrid,0.75,True
srv-0183,RHEL,8,16,8,False,True,Hyper-V,[443],['sshd'],Cloud Management Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.85,True
srv-0184,Debian,12,4,128,False,True,VMware,[443],['jenkins' 'prometheus'],Configuration Management Server,Moderate,Moderate,Moderate,synthetic_rules,0.71,True
srv-0185,Windows Server,2019,16,64,False,True,VMware,[443],['sshd'],Remote Desktop Services,Moderate,Moderate,Moderate,synthetic_rules,0.74,True
srv-0186,Debian,12,4,4,False,False,Physical,[  80  443 8080],['iis' 'tomcat'],Reverse Proxy,Moderate,Moderate,Moderate,synthetic_rules,0.92,True
srv-0187,Ubuntu Server,22.04,8,128,False,False,Hyper-V,[  80  443 8080],['apache2' 'tomcat'],Secure Web Gateway,Moderate,Moderate,Moderate,synthetic_hybrid,0.79,True
srv-0188,Debian,11,4,128,False,True,Physical,[ 80 443 902 903],['containerd'],Virtualization Host,Moderate,Moderate,High,synthetic_hybrid,0.79,True
srv-0189,Windows Server,2019,32,8,False,True,Cloud VM,[ 123 5985],['kubelet'],NTP Server,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
srv-0190,Windows Server,2019,4,16,False,True,VMware,[443],['sshd'],Disaster Recovery Orchestrator,Moderate,Moderate,Moderate,synthetic_hybrid,0.97,True
srv-0191,Debian,11,32,64,False,True,VMware,[443 903],['containerd' 'dns'],Virtualization Host,Moderate,Moderate,High,synthetic_rules,0.9,True
srv-0192,Debian,12,32,128,False,False,Container,[  22 3389],['dns'],Bastion Host,Moderate,Moderate,Moderate,synthetic_ml_seed,0.75,True
srv-0193,Debian,11,32,8,False,False,VMware,[ 443 3389 8080],['sshd'],ETL Server,Moderate,Moderate,Moderate,synthetic_rules,0.8,True
srv-0194,Windows Server,2022,16,4,False,True,VMware,[10000],['gitlab' 'grafana'],Backup Server,High,High,High,synthetic_hybrid,0.96,True
srv-0195,RHEL,8,8,64,False,False,VMware,[ 22 443],['radiusd' 'wazuh-manager'],Firewall Management Server,High,High,High,synthetic_rules,0.75,True
srv-0196,RHEL,9,2,16,False,True,Cloud VM,[1521 5432 5985],['postgresql'],Data Warehouse Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
srv-0197,Debian,12,4,32,True,False,Hyper-V,[6080 6443],['sshd'],GIS Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.83,True
srv-0198,Windows Server,2016,4,32,False,True,Container,[ 443 3260],['winrm'],SAN Management Server,High,High,High,synthetic_hybrid,0.9,True
srv-0199,Ubuntu Server,22.04,16,16,False,True,KVM,[8080],['apache2' 'iis'],Reverse Proxy,Moderate,Moderate,Moderate,synthetic_hybrid,0.86,True
srv-0200,Windows Server,2022,2,128,False,True,VMware,[5601 5986 9200],['vault' 'wazuh-manager'],SIEM Server,High,High,Moderate,synthetic_hybrid,0.93,True
srv-0201,Windows Server,2022,16,64,False,True,Hyper-V,[ 443 5986 8080],['apache2' 'iis' 'jira'],Help Desk Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.99,True
srv-0202,RHEL,8,32,64,False,False,KVM,[443],['sshd'],Media Streaming Server,Moderate,Moderate,Moderate,synthetic_rules,0.78,True
srv-0203,Ubuntu Server,22.04,2,16,False,False,Physical,[161 162 443],['prometheus'],Monitoring Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.75,True
srv-0204,RHEL,9,2,16,False,True,VMware,[ 443 8834],['sshd'],Vulnerability Scanner,Moderate,Moderate,Moderate,synthetic_rules,0.77,True
srv-0205,Ubuntu Server,20.04,2,128,False,False,KVM,[  443 44818],['winrm'],SCADA Historian,Moderate,Moderate,Moderate,synthetic_rules,0.79,True
srv-0206,Debian,12,2,4,False,False,Hyper-V,[443],['winrm'],OT Management Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.93,True
srv-0207,Windows Server,2019,16,128,False,True,Hyper-V,[ 22  80 443],['sshd'],Cloud Management Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.9,True
srv-0208,Windows Server,2016,8,128,False,True,Physical,[  80  514 5601 9200],['jenkins'],Log Management Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
srv-0209,Windows Server,2016,8,8,False,True,Physical,[ 443 7990],['jenkins' 'zabbix-server'],Source Control Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.74,True
srv-0210,RHEL,9,8,64,False,True,KVM,[  443 10000],['grafana'],Backup Server,High,High,High,synthetic_ml_seed,0.88,True
srv-0211,Windows Server,2022,8,128,False,True,VMware,[  22 8080],['sshd'],Application Server,Moderate,Moderate,High,synthetic_ml_seed,0.98,True
srv-0212,Debian,11,4,64,False,False,VMware,[  22 2379 2380 6443],['kubelet'],Kubernetes Control Plane,Moderate,Moderate,High,synthetic_hybrid,0.84,True
srv-0213,Ubuntu Server,22.04,8,64,False,False,Physical,[  443  3389  5985 27000 27001],['sshd'],License Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.82,True
srv-0214,Windows Server,2016,8,16,False,True,Container,[443],['winrm'],Data Loss Prevention Scanner,Moderate,Moderate,Moderate,synthetic_rules,0.86,True
srv-0215,Windows Server,2022,32,64,False,True,VMware,[53 80],['kubelet'],DNS Server,Moderate,Moderate,High,synthetic_rules,0.99,True
srv-0216,Windows Server,2016,16,16,False,True,Container,[5985 6080 6443],['winrm'],GIS Server,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
srv-0217,RHEL,8,8,32,False,True,Cloud VM,[ 22 443],['veeam'],DevOps Build Server,Moderate,Moderate,Moderate,synthetic_rules,0.8,True
srv-0218,Debian,11,8,8,False,False,VMware,[5432],['mssql'],Geospatial Database,Moderate,Moderate,Moderate,synthetic_rules,0.75,True
srv-0219,Windows Server,2022,8,128,True,True,KVM,[ 443 6006 8888],['winrm'],Machine Learning Platform,Moderate,Moderate,Moderate,synthetic_hybrid,0.75,True
srv-0220,Ubuntu Server,22.04,4,128,False,False,Hyper-V,[443],['winrm'],Disaster Recovery Orchestrator,Moderate,Moderate,Moderate,synthetic_ml_seed,0.75,True
srv-0221,Windows Server,2022,2,64,False,True,Physical,[ 443 5986 8080],['apache2' 'tomcat'],CRM Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.82,True
srv-0222,Windows Server,2019,8,8,False,True,KVM,[ 389 3389 5986],['winrm'],Directory Sync Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.82,True
srv-0223,RHEL,8,8,16,False,False,Hyper-V,[443 502],['sshd'],OT Management Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.85,True
srv-0224,Windows Server,2022,4,128,False,True,Physical,[21],['winrm'],FTP Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.92,True
srv-0225,Windows Server,2016,32,4,False,True,Hyper-V,[ 443 8080 8443],['winrm'],Application Server,Moderate,Moderate,High,synthetic_rules,0.89,True
srv-0226,Windows Server,2016,16,32,False,True,VMware,[1433 3306 5432 5986],['mysql'],Database Server,High,High,High,synthetic_hybrid,0.81,True
srv-0227,Ubuntu Server,20.04,8,4,False,True,Physical,[ 80 443],['apache2' 'tomcat' 'vault'],Web Application Firewall,High,High,High,synthetic_rules,0.79,True
srv-0228,Windows Server,2022,4,64,False,True,Hyper-V,[443],['winrm'],SSO Server,High,High,Moderate,synthetic_rules,0.73,True
srv-0229,Ubuntu Server,20.04,16,128,False,True,Container,[  80  123 5985],['kubelet' 'ntp'],NTP Server,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
srv-0230,Ubuntu Server,20.04,8,128,False,False,Cloud VM,[5060],['winrm'],VoIP Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.89,True
srv-0231,Debian,12,2,32,False,True,Cloud VM,[  88  445 3268 3389],['winrm'],Active Directory Domain Services,High,High,High,synthetic_ml_seed,0.82,True
srv-0232,Debian,11,2,128,False,True,Physical,[  80  443 8080],['iis' 'nginx'],Secure Web Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.76,True
srv-0233,RHEL,8,4,32,False,True,Physical,[443],['winrm'],Vulnerability Scanner,Moderate,Moderate,Moderate,synthetic_rules,0.7,True
srv-0234,Windows Server,2022,32,128,False,True,KVM,[ 902  903 5985],['dhcp' 'sshd'],VMware ESXi Host,Moderate,Moderate,Moderate,synthetic_hybrid,0.78,True
srv-0235,Debian,12,32,16,False,False,VMware,[22],['ansible'],CI/CD Runner,Moderate,Moderate,Moderate,synthetic_ml_seed,0.84,True
srv-0236,Windows Server,2016,16,16,False,True,Hyper-V,[443 445],['sshd'],Archive Server,High,High,High,synthetic_rules,0.97,True
srv-0237,Debian,12,8,32,False,False,Physical,[ 443 5986],['puppetserver' 'zabbix-server'],CI/CD Runner,Moderate,Moderate,Moderate,synthetic_hybrid,0.86,True
srv-0238,Windows Server,2016,4,64,False,True,KVM,[ 443 5696 5986],['elastic-agent' 'ossec'],Key Management Server,High,High,Moderate,synthetic_rules,0.97,True
srv-0239,RHEL,9,4,128,False,False,Hyper-V,[3389 5601 9200 9300],['sshd'],Search Server,Moderate,Moderate,Moderate,synthetic_rules,0.86,True
srv-0240,RHEL,8,4,32,False,False,Hyper-V,[ 443 5696],['elastic-agent' 'suricata'],Key Management Server,High,High,Moderate,synthetic_rules,0.93,True
srv-0241,RHEL,9,4,16,False,False,Hyper-V,[ 1433 44818],['sshd'],SCADA Historian,Moderate,Moderate,Moderate,synthetic_ml_seed,0.76,True
srv-0242,Debian,11,2,8,False,True,Physical,[  22   80  443 8200],['elastic-agent' 'wazuh-manager'],Secrets Management Server,High,High,Moderate,synthetic_rules,0.96,True
srv-0243,Windows Server,2016,4,32,False,True,Hyper-V,[9000],['suricata' 'wazuh-manager'],HSM Management Server,High,High,Moderate,synthetic_rules,0.93,True
srv-0244,Ubuntu Server,20.04,8,32,False,True,VMware,[443],['sshd'],Data Loss Prevention Scanner,Moderate,Moderate,Moderate,synthetic_ml_seed,0.8,True
srv-0245,Ubuntu Server,22.04,8,4,False,True,Container,[  53   80 3389],['dns'],DNS Server,Moderate,Moderate,High,synthetic_rules,0.74,True
srv-0246,Windows Server,2019,4,32,False,True,Container,[  22   23  443 5985],['winrm'],Mainframe Gateway,Moderate,Moderate,Moderate,synthetic_ml_seed,0.85,True
srv-0247,Debian,12,4,16,False,True,Cloud VM,[2380 5985 6443],['dns' 'ntp'],Kubernetes Control Plane,Moderate,Moderate,High,synthetic_ml_seed,0.81,True
srv-0248,RHEL,8,16,4,False,False,VMware,[ 443 5986],['winrm'],Cloud Management Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.97,True
srv-0249,Debian,11,4,4,False,False,VMware,[  22  631 3389 9100],['winrm'],Print Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
srv-0250,Debian,12,16,32,False,False,Physical,[  80  443 1935],['sshd'],Media Streaming Server,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
srv-0251,Windows Server,2022,8,128,False,True,KVM,[22],['winrm'],SFTP Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.89,True
srv-0252,Windows Server,2019,8,16,False,True,VMware,[ 443 2195],['sshd'],MDM Server,Moderate,Moderate,Moderate,synthetic_rules,0.93,True
srv-0253,Windows Server,2022,2,64,False,True,Cloud VM,[631],['winrm'],Print Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.88,True
srv-0254,Windows Server,2016,8,16,False,True,VMware,[ 443 5986],['sshd'],CMDB Server,Moderate,Moderate,Moderate,synthetic_rules,0.85,True
srv-0255,Windows Server,2019,8,128,False,True,KVM,[1433 3306 5432],['mssql'],Database Proxy,Moderate,Moderate,Moderate,synthetic_hybrid,0.97,True
srv-0256,Windows Server,2022,32,128,False,True,VMware,[3260 5985],['sshd'],SAN Management Server,High,High,High,synthetic_rules,0.89,True
srv-0257,Ubuntu Server,20.04,8,16,False,True,VMware,[443],['sshd'],CMDB Server,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
srv-0258,Debian,12,8,128,False,True,VMware,[443 502],['winrm'],OT Management Server,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
srv-0259,Debian,11,8,8,False,False,VMware,[ 80 443 873],['sshd'],Replication Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.73,True
srv-0260,Windows Server,2016,4,8,False,True,VMware,[  22 3389],['winrm'],Jump Server,Moderate,Moderate,Moderate,synthetic_rules,0.92,True
srv-0261,Debian,11,16,4,False,False,KVM,[ 22 443],['sshd'],Disaster Recovery Orchestrator,Moderate,Moderate,Moderate,synthetic_rules,0.97,True
srv-0262,Windows Server,2022,4,64,False,True,Hyper-V,[ 111  445 2049 5985],['sshd'],NAS Server,High,High,High,synthetic_rules,0.86,True
srv-0263,Ubuntu Server,22.04,8,4,False,False,VMware,[  22  443 3478],['teams-gateway'],Video Conferencing Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.83,True
srv-0264,Windows Server,2019,8,64,False,True,KVM,[22],['ntp'],Jump Server,Moderate,Moderate,Moderate,synthetic_rules,0.87,True
srv-0265,Windows Server,2016,4,16,False,True,Physical,[8443],['apache2' 'nginx'],API Gateway,Moderate,Moderate,High,synthetic_rules,0.75,True
srv-0266,Ubuntu Server,22.04,8,64,False,False,VMware,[ 22 445],['sshd'],File Server,Moderate,Moderate,Moderate,synthetic_rules,0.85,True
srv-0267,Ubuntu Server,20.04,2,32,False,True,VMware,[  80  443 8530],['prometheus' 'puppetserver'],Patch Management Server,Moderate,Moderate,Moderate,synthetic_rules,0.94,True
srv-0268,RHEL,9,16,16,False,False,Hyper-V,[ 80 443],['tomcat'],Web Server,Moderate,Moderate,High,synthetic_ml_seed,0.9,True
srv-0269,Debian,11,8,16,False,True,VMware,[ 443 5985 8443],['sshd'],Application Server,Moderate,Moderate,High,synthetic_ml_seed,0.98,True
srv-0270,RHEL,9,8,16,False,True,Hyper-V,[ 22 443],['sshd'],Mainframe Gateway,Moderate,Moderate,Moderate,synthetic_hybrid,0.9,True
srv-0271,RHEL,9,16,64,False,True,Hyper-V,[22],['ansible'],CI/CD Runner,Moderate,Moderate,Moderate,synthetic_rules,0.93,True
srv-0272,Windows Server,2019,16,8,False,True,Physical,[ 443 5986],['winrm'],Data Loss Prevention Scanner,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
srv-0273,RHEL,9,8,4,False,True,Cloud VM,[  22  443 1883 3389],['winrm'],IoT Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.99,True
srv-0274,RHEL,9,4,8,False,False,KVM,[ 443 1813],['elastic-agent'],RADIUS Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.72,True
srv-0275,Windows Server,2019,16,16,False,True,VMware,[80],['iis' 'sharepoint' 'tomcat'],SharePoint Server,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
srv-0276,Windows Server,2022,8,64,False,True,KVM,[443],['sshd'],Disaster Recovery Orchestrator,Moderate,Moderate,Moderate,synthetic_hybrid,0.93,True
srv-0277,RHEL,9,8,4,False,False,Hyper-V,[ 80 443],['sshd'],Load Balancer,Moderate,Moderate,High,synthetic_rules,0.82,True
srv-0278,Windows Server,2016,32,8,False,True,Cloud VM,[1521 5432],['oracle'],Geospatial Database,Moderate,Moderate,Moderate,synthetic_hybrid,0.71,True
srv-0279,RHEL,8,8,64,True,False,VMware,[  80  443 6006],['sshd'],Machine Learning Platform,Moderate,Moderate,Moderate,synthetic_ml_seed,0.97,True
srv-0280,RHEL,8,16,4,False,True,Cloud VM,[ 443 9000],['vault' 'wazuh-manager'],HSM Management Server,High,High,Moderate,synthetic_hybrid,0.98,True
srv-0281,RHEL,8,8,128,False,True,VMware,[ 80 443],['sshd'],ETL Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.97,True
srv-0282,Windows Server,2016,2,64,False,True,KVM,[1813],['ossec'],RADIUS Server,Moderate,Moderate,Moderate,synthetic_rules,0.78,True
srv-0283,Debian,12,8,4,False,False,VMware,[5986 6514],['sshd'],Syslog Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.71,True
srv-0284,Windows Server,2019,8,32,False,True,Hyper-V,[ 443  514 5601 9200],['wazuh-manager'],SIEM Server,High,High,Moderate,synthetic_hybrid,0.99,True
srv-0285,Debian,11,4,128,False,False,Hyper-V,[23],['winrm'],Mainframe Gateway,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
srv-0286,Debian,11,2,16,False,False,VMware,[ 443 5985 8088],['sshd'],BI Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.77,True
srv-0287,Windows Server,2022,8,32,False,True,VMware,[443],['winrm'],Disaster Recovery Orchestrator,Moderate,Moderate,Moderate,synthetic_hybrid,0.73,True
srv-0288,RHEL,8,8,4,False,True,Container,[445],['sshd'],Storage Server,High,High,High,synthetic_hybrid,0.98,True
srv-0289,Windows Server,2022,32,4,False,True,KVM,[443],['winrm'],Asset Management Server,Moderate,Moderate,Moderate,synthetic_rules,0.99,True
srv-0290,RHEL,8,2,64,True,False,VMware,[  22  443 3389],['ossec'],DLP Management Server,High,High,High,synthetic_hybrid,0.77,True
srv-0291,RHEL,9,16,16,False,False,VMware,[443],['suricata'],DLP Management Server,High,High,High,synthetic_rules,0.9,True
srv-0292,Debian,11,16,32,False,True,Physical,[67 68],['dns' 'winrm'],DHCP Server,Moderate,Moderate,High,synthetic_rules,0.93,True
srv-0293,Ubuntu Server,22.04,8,64,False,True,Physical,[ 443 1812],['winrm'],Network Access Control Server,Moderate,Moderate,Moderate,synthetic_rules,0.86,True
srv-0294,Windows Server,2019,4,32,False,True,KVM,[3389 4500],['winrm'],VPN Server,Moderate,Moderate,High,synthetic_rules,0.81,True
srv-0295,Windows Server,2016,16,64,False,True,KVM,[  80  443 5986],['confluence' 'nginx' 'tomcat'],SharePoint Server,Moderate,Moderate,Moderate,synthetic_rules,0.95,True
srv-0296,Ubuntu Server,22.04,4,16,True,True,VMware,[3478],['exchange'],Video Conferencing Server,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
srv-0297,Windows Server,2022,32,32,False,True,VMware,[5985 8530 8531],['zabbix-server'],WSUS Server,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
srv-0298,Debian,12,4,32,False,False,VMware,[ 443 5986 8080],['iis' 'tomcat'],CRM Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.97,True
srv-0299,Ubuntu Server,22.04,32,4,False,False,Hyper-V,[ 5060  5061  5985  5986 10000],['sshd'],VoIP Server,Moderate,Moderate,Moderate,synthetic_rules,0.86,True
srv-0300,RHEL,8,4,128,False,True,Physical,[443],['wazuh-manager'],SIEM Server,High,High,Moderate,synthetic_hybrid,0.74,True
srv-0301,Windows Server,2022,2,128,False,True,VMware,[  22  443 7990],['veeam' 'zabbix-server'],Source Control Server,Moderate,Moderate,Moderate,synthetic_rules,0.71,True
srv-0302,Windows Server,2019,4,32,False,True,Container,[123],['dns' 'winrm'],NTP Server,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
srv-0303,Debian,11,2,32,False,False,Cloud VM,[ 443 3389],['sshd'],CMDB Server,Moderate,Moderate,Moderate,synthetic_rules,0.93,True
srv-0304,Windows Server,2019,8,8,True,True,Container,[443],['winrm'],Cloud Management Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.87,True
srv-0305,Debian,11,32,16,False,True,Physical,[443],['sshd'],SSO Server,High,High,Moderate,synthetic_rules,0.71,True
srv-0306,Ubuntu Server,20.04,8,32,False,False,VMware,[ 2379  2380  6443 10250],['sshd'],Kubernetes Control Plane,Moderate,Moderate,High,synthetic_hybrid,0.71,True
srv-0307,Windows Server,2016,8,64,False,True,KVM,[ 80 443],['wazuh-manager'],Identity Governance Server,High,High,Moderate,synthetic_rules,0.89,True
srv-0308,Ubuntu Server,20.04,8,16,False,False,KVM,[ 443  873 3389 5986],['sshd'],Replication Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.75,True
srv-0309,Windows Server,2022,8,8,False,True,Physical,[  80  443 3389 5986],['winrm'],Mainframe Gateway,Moderate,Moderate,Moderate,synthetic_hybrid,0.83,True
srv-0310,Debian,11,16,8,False,False,Hyper-V,[  80 1433 3306],['mysql'],Database Proxy,Moderate,Moderate,Moderate,synthetic_rules,0.7,True
srv-0311,Windows Server,2019,8,4,False,True,Cloud VM,[8080],['nginx' 'teams-gateway' 'tomcat'],Help Desk Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.71,True
srv-0312,Ubuntu Server,22.04,4,32,False,False,Cloud VM,[ 443 8443],['winrm'],Application Server,Moderate,Moderate,High,synthetic_hybrid,0.88,True
srv-0313,Ubuntu Server,20.04,16,128,False,True,Physical,[ 443 5985],['sshd'],Asset Management Server,Moderate,Moderate,Moderate,synthetic_rules,0.76,True
srv-0314,RHEL,9,4,8,False,True,VMware,[443 873],['sshd'],Replication Server,Moderate,Moderate,Moderate,synthetic_rules,0.98,True
srv-0315,Windows Server,2022,8,64,False,True,Physical,[ 80 443],['apache2' 'confluence'],SharePoint Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.83,True
srv-0316,Debian,11,16,64,False,False,Hyper-V,[ 80 443],['iis' 'nginx'],Web Server,Moderate,Moderate,High,synthetic_ml_seed,0.72,True
srv-0317,Ubuntu Server,22.04,4,128,False,False,Hyper-V,[67 68],['docker'],DHCP Server,Moderate,Moderate,High,synthetic_hybrid,0.8,True
srv-0318,RHEL,9,32,16,False,False,Hyper-V,[  22 3389 9092],['winrm'],Message Queue Server,Moderate,Moderate,High,synthetic_rules,0.81,True
srv-0319,RHEL,8,4,8,False,False,Hyper-V,[443],['apache2'],ERP Server,Moderate,Moderate,Moderate,synthetic_rules,0.98,True
srv-0320,RHEL,9,4,4,False,True,Hyper-V,[ 5060  5061 10000],['sshd'],VoIP Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.72,True
srv-0321,Windows Server,2022,4,4,False,True,VMware,[ 443 1194],['sshd'],VPN Server,Moderate,Moderate,High,synthetic_rules,0.84,True
srv-0322,Ubuntu Server,22.04,4,4,True,False,Cloud VM,[443],['elastic-agent' 'ossec'],Identity Governance Server,High,High,Moderate,synthetic_ml_seed,0.98,True
srv-0323,Ubuntu Server,22.04,4,32,False,True,Cloud VM,[3389],['ntp'],Jump Server,Moderate,Moderate,Moderate,synthetic_rules,0.73,True
srv-0324,Windows Server,2022,4,32,False,True,VMware,[443],['tomcat'],Web Server,Moderate,Moderate,High,synthetic_hybrid,0.94,True
srv-0325,Windows Server,2019,4,4,False,True,Hyper-V,[8530 8531],['gitlab' 'puppetserver'],WSUS Server,Moderate,Moderate,Moderate,synthetic_rules,0.85,True
srv-0326,Debian,12,2,16,True,False,VMware,[ 22  80 443],['nginx'],Web Server,Moderate,Moderate,High,synthetic_ml_seed,0.84,True
srv-0327,Windows Server,2019,8,32,False,True,VMware,[ 443 5985],['elastic-agent' 'vault'],Email Security Gateway,High,High,High,synthetic_rules,0.93,True
srv-0328,RHEL,9,32,32,False,False,Container,[ 443 2195],['sshd'],MDM Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.88,True
srv-0329,Windows Server,2016,8,128,False,True,VMware,[ 443 3389 9000],['elastic-agent' 'vault'],HSM Management Server,High,High,Moderate,synthetic_hybrid,0.77,True
srv-0330,Windows Server,2022,4,16,False,True,Cloud VM,[139 445],['winrm'],File Server,Moderate,Moderate,Moderate,synthetic_rules,0.93,True
srv-0331,RHEL,9,32,16,False,False,KVM,[ 443 5985],['gitlab'],CI/CD Runner,Moderate,Moderate,Moderate,synthetic_rules,0.78,True
srv-0332,RHEL,8,2,16,False,False,Physical,[22],['gitlab' 'jenkins'],CI/CD Runner,Moderate,Moderate,Moderate,synthetic_ml_seed,0.81,True
srv-0333,RHEL,8,32,8,True,False,VMware,[135 445],['winrm'],PKI / Certificate Authority,High,High,Moderate,synthetic_ml_seed,0.86,True
srv-0334,Windows Server,2019,8,32,False,True,Physical,[443],['apache2' 'iis'],API Gateway,Moderate,Moderate,High,synthetic_rules,0.93,True
srv-0335,Windows Server,2022,16,8,False,True,VMware,[ 443 5986],['zabbix-server'],Backup Server,High,High,High,synthetic_hybrid,0.86,True
srv-0336,Windows Server,2019,4,4,False,True,KVM,[2049 5986],['winrm'],Storage Server,High,High,High,synthetic_hybrid,0.88,True
srv-0337,Debian,12,32,128,False,False,Physical,[ 443 5985],['winrm'],Directory Sync Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.97,True
srv-0338,Windows Server,2022,8,128,False,True,VMware,[443],['winrm'],License Compliance Server,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
srv-0339,Windows Server,2016,2,16,False,True,VMware,[443],['winrm'],License Compliance Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.95,True
srv-0340,Windows Server,2019,4,4,False,True,Hyper-V,[ 443 8080],['apache2'],CRM Server,Moderate,Moderate,Moderate,synthetic_rules,0.76,True
srv-0341,RHEL,9,2,8,False,False,VMware,[443],['sshd'],SSO Server,High,High,Moderate,synthetic_rules,0.85,True
srv-0342,Windows Server,2022,2,4,False,True,Cloud VM,[1433 5432 5986],['postgresql'],Data Warehouse Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.86,True
srv-0343,Debian,11,4,16,False,False,VMware,[ 80 443],['sshd'],Data Loss Prevention Scanner,Moderate,Moderate,Moderate,synthetic_rules,0.71,True
srv-0344,Ubuntu Server,22.04,16,8,False,True,KVM,[443 902],['sshd' 'winrm'],VMware ESXi Host,Moderate,Moderate,Moderate,synthetic_ml_seed,0.82,True
srv-0345,Ubuntu Server,22.04,4,4,True,True,Cloud VM,[ 443  873 5985],['sshd'],Replication Server,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
srv-0346,Ubuntu Server,22.04,2,16,False,False,Physical,[  22  443 1433 3306 5432],['postgresql'],Database Proxy,Moderate,Moderate,Moderate,synthetic_hybrid,0.73,True
srv-0347,RHEL,8,8,64,False,False,VMware,[1433 3389 5432],['mysql'],Database Proxy,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
