role,os_type,os_version,hostname_pattern,business_function,department,open_ports,running_services,installed_roles,installed_software
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,IT,"[67, 68, 135]","[""DHCP Service"", ""WinRM""]","[""DHCP Server""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,Infrastructure,"[67, 68]","[""DHCP Server""]","[""DHCP Server""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,IP Address Management,IT,"[67, 68, 135]","[""DHCP Server""]","[""DHCP Server"", ""Remote Administration"", ""Management Tools""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Core Network Services,IT,"[67, 68]","[""DHCP Service""]","[""DHCP Server""]","[""IPAM Tools"", ""Backup Agent""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,Infrastructure,"[67, 68]","[""DHCP Server""]","[""DHCP Server""]","[""IPAM Tools""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[67, 68]","[""DHCP Server"", ""RDP""]","[""DHCP""]","[""IPAM Tools"", ""Endpoint Protection"", ""AV Scanner""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,IT,"[53, 67, 68]","[""DHCP"", ""RDP""]","[""DHCP""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,IP Address Management,IT,"[67, 68, 135]","[""DHCP"", ""Event Log"", ""Monitoring Service""]","[""DHCP Server""]","[""Windows DHCP"", ""Monitoring Agent""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,IP Address Management,IT,"[67, 68]","[""DHCP""]","[""DHCP""]","[""DHCP Management Console"", ""Sysmon""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Network Services,IT,"[53, 67, 68]","[""DHCP Server""]","[""DHCP Server""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,IT,"[67, 68, 135]","[""DHCP Service""]","[""DHCP Server"", ""Remote Administration""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,IP Address Management,Infrastructure,"[53, 67, 68]","[""DHCP Service""]","[""DHCP Server"", ""Management Tools""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Core Network Services,Infrastructure,"[67, 68]","[""DHCP"", ""WinRM"", ""Monitoring Service""]","[""DHCP""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Core Network Services,IT,"[67, 68, 135]","[""DHCP""]","[""DHCP Server""]","[""IPAM Tools"", ""Sysmon""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Core Network Services,IT,"[67, 68]","[""DHCP Service""]","[""DHCP Server""]","[""Windows DHCP"", ""Sysmon"", ""Backup Agent""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,IP Address Management,IT,"[53, 67, 68]","[""DHCP Service""]","[""DHCP"", ""Remote Administration""]","[""IPAM Tools"", ""AV Scanner""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,IP Address Management,IT,"[67, 68]","[""DHCP Server""]","[""DHCP Server""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[67, 68]","[""DHCP Service""]","[""DHCP"", ""Management Tools"", ""Remote Administration""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,IP Address Management,IT,"[67, 68]","[""DHCP Server""]","[""DHCP Server"", ""Management Tools"", ""Remote Administration""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Core Network Services,Infrastructure,"[67, 68]","[""DHCP Server""]","[""DHCP Server""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Core Network Services,Infrastructure,"[67, 68]","[""DHCP Server""]","[""DHCP""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,IP Address Management,IT,"[53, 67, 68]","[""DHCP Server""]","[""DHCP"", ""Remote Administration""]","[""IPAM Tools""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Network Services,Infrastructure,"[67, 68, 135]","[""DHCP""]","[""DHCP""]","[""DHCP Management Console"", ""Endpoint Protection""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,IP Address Management,IT,"[67, 68]","[""DHCP Server""]","[""DHCP""]","[""IPAM Tools"", ""Backup Agent""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[67, 68]","[""DHCP Server"", ""WinRM"", ""Monitoring Service""]","[""DHCP"", ""Remote Administration""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Network Services,Infrastructure,"[67, 68]","[""DHCP Server""]","[""DHCP""]","[""IPAM Tools"", ""Monitoring Agent"", ""Endpoint Protection""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,IP Address Management,IT,"[67, 68]","[""DHCP Server"", ""Event Log"", ""Monitoring Service""]","[""DHCP Server""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,IP Address Management,IT,"[67, 68]","[""DHCP Service""]","[""DHCP Server"", ""Management Tools"", ""Remote Administration""]","[""DHCP Management Console"", ""PowerShell"", ""Backup Agent""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,IP Address Management,Infrastructure,"[53, 67, 68]","[""DHCP"", ""RDP""]","[""DHCP""]","[""Windows DHCP"", ""PowerShell""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[53, 67, 68]","[""DHCP"", ""Monitoring Service"", ""WinRM""]","[""DHCP"", ""Management Tools""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[67, 68, 135]","[""DHCP Service""]","[""DHCP""]","[""Windows DHCP"", ""Monitoring Agent""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,IP Address Management,Infrastructure,"[53, 67, 68]","[""DHCP""]","[""DHCP Server""]","[""Windows DHCP"", ""Sysmon""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,IT,"[67, 68]","[""DHCP Service""]","[""DHCP""]","[""Windows DHCP"", ""PowerShell"", ""Sysmon""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,IP Address Management,Infrastructure,"[53, 67, 68]","[""DHCP Service"", ""Monitoring Service""]","[""DHCP"", ""Management Tools""]","[""Windows DHCP"", ""Monitoring Agent""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Network Services,IT,"[67, 68, 135]","[""DHCP Service"", ""Event Log""]","[""DHCP Server""]","[""DHCP Management Console"", ""AV Scanner""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,IP Address Management,IT,"[53, 67, 68]","[""DHCP""]","[""DHCP""]","[""IPAM Tools"", ""Sysmon""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,IT,"[67, 68]","[""DHCP Service""]","[""DHCP""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,Infrastructure,"[67, 68]","[""DHCP Service""]","[""DHCP Server""]","[""IPAM Tools""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,IP Address Management,IT,"[53, 67, 68]","[""DHCP Service""]","[""DHCP Server"", ""Management Tools"", ""Remote Administration""]","[""DHCP Management Console"", ""Endpoint Protection""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,IT,"[53, 67, 68]","[""DHCP Server""]","[""DHCP""]","[""DHCP Management Console"", ""Sysmon""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,IP Address Management,IT,"[67, 68]","[""DHCP""]","[""DHCP""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[67, 68]","[""DHCP""]","[""DHCP Server"", ""Management Tools""]","[""DHCP Management Console"", ""Monitoring Agent"", ""PowerShell""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,IP Address Management,Infrastructure,"[67, 68]","[""DHCP Service"", ""Event Log""]","[""DHCP""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Core Network Services,Infrastructure,"[67, 68]","[""DHCP Server"", ""RDP""]","[""DHCP""]","[""IPAM Tools""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Network Services,Infrastructure,"[67, 68, 135]","[""DHCP Server"", ""Monitoring Service"", ""WinRM""]","[""DHCP Server""]","[""DHCP Management Console"", ""Endpoint Protection"", ""Monitoring Agent""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,IP Address Management,IT,"[53, 67, 68]","[""DHCP""]","[""DHCP""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[67, 68]","[""DHCP Service""]","[""DHCP Server""]","[""DHCP Management Console"", ""Monitoring Agent"", ""Sysmon""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[67, 68]","[""DHCP""]","[""DHCP Server""]","[""IPAM Tools"", ""AV Scanner"", ""Backup Agent""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,IP Address Management,IT,"[67, 68, 135]","[""DHCP Service""]","[""DHCP""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Network Services,IT,"[53, 67, 68]","[""DHCP Service""]","[""DHCP Server"", ""Management Tools"", ""Remote Administration""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,IP Address Management,Infrastructure,"[67, 68]","[""DHCP Service""]","[""DHCP Server""]","[""DHCP Management Console"", ""Monitoring Agent""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Core Network Services,Infrastructure,"[53, 67, 68]","[""DHCP""]","[""DHCP""]","[""Windows DHCP""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,Infrastructure,"[67, 68]","[""DHCP"", ""WinRM""]","[""DHCP Server""]","[""IPAM Tools""]"
DHCP Server,Windows Server,Windows Server 2019,SRV,Network Services,Infrastructure,"[53, 67, 68]","[""DHCP""]","[""DHCP"", ""Remote Administration"", ""Management Tools""]","[""IPAM Tools""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Network Services,IT,"[67, 68, 135]","[""DHCP""]","[""DHCP Server""]","[""DHCP Management Console""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Network Services,Infrastructure,"[67, 68, 135]","[""DHCP""]","[""DHCP Server""]","[""Windows DHCP"", ""Sysmon"", ""PowerShell""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Network Services,IT,"[67, 68]","[""DHCP"", ""Monitoring Service"", ""Event Log""]","[""DHCP""]","[""IPAM Tools""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Network Services,Infrastructure,"[67, 68]","[""DHCP Service""]","[""DHCP Server"", ""Management Tools""]","[""Windows DHCP"", ""Sysmon""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,IP Address Management,Infrastructure,"[67, 68, 135]","[""DHCP""]","[""DHCP Server""]","[""Windows DHCP"", ""Endpoint Protection"", ""Backup Agent""]"
DHCP Server,Windows Server,Windows Server 2022,SRV,Core Network Services,Infrastructure,"[67, 68, 135]","[""DHCP Server""]","[""DHCP""]","[""IPAM Tools"", ""Backup Agent""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,IP Address Management,IT,"[67, 68]","[""DHCP Service"", ""Event Log""]","[""DHCP""]","[""IPAM Tools"", ""PowerShell""]"
DHCP Server,Windows Server,Windows Server 2016,SRV,Core Network Services,IT,"[67, 68]","[""DHCP""]","[""DHCP""]","[""IPAM Tools""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,IT,"[139, 445]","[""CIFS"", ""SMB"", ""Monitoring Service"", ""Event Log""]","[""File Server"", ""Remote Administration"", ""Management Tools""]","[""DFS Management"", ""Sysmon""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,IT,"[139, 445]","[""File Services""]","[""File and Storage Services"", ""Management Tools""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2016,SRV,Department File Shares,Finance,"[445, 3389]","[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""FSRM"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,IT,"[139, 445, 3389]","[""File Services"", ""Event Log"", ""Monitoring Service""]","[""File and Storage Services""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2016,SRV,Shared Storage,Operations,"[139, 445, 3389]","[""CIFS"", ""SMB""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2016,SRV,Department File Shares,IT,"[139, 445]","[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Finance,"[139, 445]","[""SMB"", ""File Services""]","[""File and Storage Services""]","[""FSRM"", ""Endpoint Protection""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,HR,[445],"[""CIFS"", ""SMB""]","[""File Server""]","[""FSRM"", ""Sysmon""]"
File Server,Windows Server,Windows Server 2016,SRV,Shared Storage,IT,"[139, 445]","[""SMB"", ""File Services""]","[""File Server""]","[""Windows File Services"", ""PowerShell"", ""Backup Agent""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,Finance,"[139, 445]","[""File Services"", ""WinRM"", ""RDP""]","[""File Server"", ""Management Tools""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2016,SRV,Data Storage,HR,"[445, 3389]","[""File Services"", ""WinRM""]","[""File and Storage Services""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,Operations,"[139, 445]","[""CIFS"", ""SMB""]","[""File Server"", ""Management Tools"", ""Remote Administration""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Operations,[445],"[""CIFS"", ""SMB""]","[""File Server""]","[""DFS Management"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Finance,"[139, 445]","[""File Services"", ""Monitoring Service"", ""WinRM""]","[""File and Storage Services""]","[""Windows File Services"", ""Sysmon""]"
File Server,Windows Server,Windows Server 2016,SRV,Department File Shares,IT,"[445, 3389]","[""File Services""]","[""File and Storage Services""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,Finance,"[139, 445]","[""SMB"", ""File Services""]","[""File and Storage Services""]","[""Windows File Services"", ""Sysmon"", ""Endpoint Protection""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,HR,"[139, 445]","[""SMB"", ""File Services"", ""WinRM""]","[""File and Storage Services"", ""Management Tools""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,HR,"[139, 445]","[""CIFS"", ""SMB""]","[""File Server""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,HR,"[445, 3389]","[""SMB"", ""File Services"", ""WinRM""]","[""File Server""]","[""Windows File Services"", ""AV Scanner"", ""Sysmon""]"
File Server,Windows Server,Windows Server 2016,SRV,Shared Storage,IT,"[139, 445]","[""SMB"", ""File Services""]","[""File and Storage Services""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,Operations,"[139, 445]","[""SMB"", ""File Services""]","[""File Server""]","[""Windows File Services"", ""AV Scanner"", ""Backup Agent""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,Finance,"[139, 445, 3389]","[""File Services""]","[""File Server""]","[""FSRM"", ""Backup Agent"", ""Monitoring Agent""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,Finance,"[445, 3389]","[""File Services""]","[""File Server""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Finance,"[139, 445]","[""File Services""]","[""File and Storage Services""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Finance,"[139, 445]","[""File Services""]","[""File and Storage Services""]","[""Windows File Services"", ""Sysmon"", ""Endpoint Protection""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,Operations,"[139, 445, 3389]","[""File Services""]","[""File Server"", ""Remote Administration"", ""Management Tools""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,Finance,[445],"[""CIFS"", ""SMB""]","[""File Server""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Operations,"[445, 3389]","[""File Services""]","[""File and Storage Services""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,HR,"[139, 445, 3389]","[""File Services""]","[""File and Storage Services"", ""Management Tools""]","[""FSRM"", ""AV Scanner"", ""PowerShell""]"
File Server,Windows Server,Windows Server 2016,SRV,Data Storage,Operations,"[139, 445]","[""SMB"", ""File Services""]","[""File and Storage Services"", ""Management Tools""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,IT,[445],"[""CIFS"", ""SMB"", ""Monitoring Service""]","[""File and Storage Services""]","[""DFS Management"", ""Monitoring Agent"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,HR,"[139, 445, 3389]","[""SMB"", ""File Services""]","[""File Server""]","[""Windows File Services"", ""AV Scanner"", ""Backup Agent""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Operations,"[139, 445]","[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""Windows File Services"", ""PowerShell"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Operations,[445],"[""SMB"", ""File Services""]","[""File and Storage Services""]","[""DFS Management"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,Finance,"[139, 445]","[""File Services""]","[""File and Storage Services""]","[""DFS Management"", ""Monitoring Agent"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,Finance,"[139, 445, 3389]","[""SMB"", ""File Services"", ""Event Log""]","[""File and Storage Services"", ""Remote Administration""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,Operations,"[139, 445, 3389]","[""File Services""]","[""File Server""]","[""DFS Management"", ""Backup Agent""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,Finance,"[139, 445]","[""File Services"", ""RDP"", ""Event Log""]","[""File and Storage Services""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,IT,"[139, 445]","[""SMB"", ""File Services""]","[""File Server"", ""Management Tools""]","[""FSRM"", ""AV Scanner"", ""Sysmon""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,Finance,"[139, 445]","[""CIFS"", ""SMB""]","[""File Server"", ""Management Tools"", ""Remote Administration""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2016,SRV,Department File Shares,IT,"[445, 3389]","[""SMB"", ""File Services""]","[""File Server""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2016,SRV,Shared Storage,Operations,[445],"[""File Services"", ""Event Log"", ""WinRM""]","[""File and Storage Services""]","[""DFS Management"", ""Backup Agent"", ""Endpoint Protection""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Operations,[445],"[""File Services""]","[""File and Storage Services""]","[""Windows File Services"", ""Monitoring Agent"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,HR,"[139, 445]","[""SMB"", ""File Services"", ""Event Log""]","[""File Server""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Finance,"[139, 445]","[""File Services""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,HR,"[445, 3389]","[""SMB"", ""File Services""]","[""File Server"", ""Management Tools"", ""Remote Administration""]","[""Windows File Services"", ""AV Scanner"", ""Monitoring Agent""]"
File Server,Windows Server,Windows Server 2016,SRV,Shared Storage,HR,"[139, 445]","[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Finance,"[445, 3389]","[""File Services"", ""Event Log""]","[""File Server""]","[""DFS Management"", ""Sysmon""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,HR,"[445, 3389]","[""SMB"", ""File Services""]","[""File Server"", ""Remote Administration"", ""Management Tools""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,IT,"[139, 445]","[""File Services""]","[""File Server"", ""Remote Administration""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2016,SRV,Department File Shares,IT,"[139, 445]","[""CIFS"", ""SMB""]","[""File Server"", ""Remote Administration""]","[""Windows File Services"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,IT,"[139, 445, 3389]","[""SMB"", ""File Services"", ""Monitoring Service""]","[""File and Storage Services""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Operations,"[139, 445]","[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,Operations,"[139, 445]","[""CIFS"", ""SMB"", ""Monitoring Service""]","[""File and Storage Services""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,HR,"[139, 445]","[""CIFS"", ""SMB""]","[""File Server"", ""Remote Administration""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Finance,"[445, 3389]","[""SMB"", ""File Services""]","[""File Server""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2016,SRV,Department File Shares,IT,"[445, 3389]","[""File Services""]","[""File Server""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,HR,"[445, 3389]","[""File Services"", ""WinRM"", ""Event Log""]","[""File Server""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2016,SRV,Shared Storage,Operations,"[139, 445]","[""File Services""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,Finance,"[139, 445]","[""CIFS"", ""SMB"", ""Event Log""]","[""File and Storage Services""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,Finance,"[445, 3389]","[""File Services""]","[""File and Storage Services""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,HR,"[139, 445]","[""File Services""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,IT,"[139, 445]","[""CIFS"", ""SMB""]","[""File Server""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,IT,"[139, 445]","[""SMB"", ""File Services"", ""WinRM"", ""Event Log""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,Operations,"[139, 445, 3389]","[""SMB"", ""File Services""]","[""File and Storage Services"", ""Management Tools""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Operations,"[139, 445]","[""SMB"", ""File Services"", ""Monitoring Service""]","[""File Server""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2016,SRV,Data Storage,HR,"[139, 445, 3389]","[""CIFS"", ""SMB""]","[""File Server"", ""Management Tools"", ""Remote Administration""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,IT,"[139, 445]","[""File Services""]","[""File Server""]","[""Windows File Services"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,HR,[445],"[""File Services"", ""WinRM"", ""Event Log""]","[""File Server"", ""Management Tools""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2019,SRV,Data Storage,HR,[445],"[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,HR,"[139, 445]","[""CIFS"", ""SMB""]","[""File Server""]","[""Windows File Services"", ""Sysmon"", ""Endpoint Protection""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Finance,"[139, 445, 3389]","[""SMB"", ""File Services""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,IT,"[139, 445]","[""File Services""]","[""File and Storage Services""]","[""DFS Management"", ""Backup Agent""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,Operations,"[139, 445]","[""File Services""]","[""File and Storage Services""]","[""DFS Management"", ""PowerShell"", ""Endpoint Protection""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Operations,"[139, 445]","[""File Services""]","[""File Server"", ""Remote Administration"", ""Management Tools""]","[""Windows File Services"", ""Monitoring Agent""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,HR,[445],"[""SMB"", ""File Services"", ""WinRM"", ""Event Log""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Finance,[445],"[""File Services""]","[""File Server"", ""Management Tools"", ""Remote Administration""]","[""DFS Management""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Finance,"[139, 445]","[""SMB"", ""File Services""]","[""File Server"", ""Remote Administration"", ""Management Tools""]","[""DFS Management"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,Finance,"[445, 3389]","[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""FSRM"", ""Backup Agent""]"
File Server,Windows Server,Windows Server 2022,SRV,Data Storage,IT,[445],"[""CIFS"", ""SMB""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,IT,"[139, 445, 3389]","[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,Finance,"[139, 445]","[""SMB"", ""File Services"", ""RDP"", ""Event Log""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2016,SRV,Department File Shares,IT,"[139, 445]","[""CIFS"", ""SMB"", ""WinRM"", ""Event Log""]","[""File Server""]","[""FSRM"", ""Endpoint Protection"", ""PowerShell""]"
File Server,Windows Server,Windows Server 2016,SRV,Data Storage,Operations,"[139, 445]","[""SMB"", ""File Services"", ""Event Log""]","[""File Server""]","[""Windows File Services""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,Finance,"[445, 3389]","[""SMB"", ""File Services""]","[""File and Storage Services""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,HR,[445],"[""File Services"", ""RDP""]","[""File Server""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2022,SRV,Shared Storage,HR,"[445, 3389]","[""SMB"", ""File Services""]","[""File Server""]","[""FSRM"", ""Monitoring Agent""]"
File Server,Windows Server,Windows Server 2019,SRV,Department File Shares,Finance,"[139, 445]","[""CIFS"", ""SMB""]","[""File and Storage Services"", ""Management Tools"", ""Remote Administration""]","[""FSRM""]"
File Server,Windows Server,Windows Server 2016,SRV,Shared Storage,HR,"[139, 445]","[""CIFS"", ""SMB""]","[""File and Storage Services""]","[""FSRM"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2022,SRV,Department File Shares,Operations,[445],"[""File Services"", ""Monitoring Service""]","[""File and Storage Services"", ""Remote Administration""]","[""Windows File Services"", ""Endpoint Protection"", ""AV Scanner""]"
File Server,Windows Server,Windows Server 2019,SRV,Shared Storage,IT,"[139, 445]","[""File Services""]","[""File Server""]","[""DFS Management"", ""Sysmon""]"
